group_id,classification,risk,id,hos,system_id,thing_id,thing_token_present,has_real_data,last_seen,decision,confidence,reason
HOS057|S19,DUPLICATE_INACTIVE,MEDIUM,HOS057-S19-01,HOS057,S19,u1jW2qrfGBaHr8wwnfaop9z_mN5CGxg3J_ief-hJ5r8,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS057|S19,DUPLICATE_INACTIVE,MEDIUM,HOS057-S19-02,HOS057,S19,Gy-YYfpCjLEG9ZNehb5itnLxz0BLbP0rVBgNyRNFNyo,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS038|S19,DUPLICATE_INACTIVE,MEDIUM,HOS038-S19-01,HOS038,S19,2qHKySnhLtZbKAmioTQZuh9F54pYZ5hCKEeyzESW1G4,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS038|S19,DUPLICATE_INACTIVE,MEDIUM,HOS038-S19-02,HOS038,S19,zRiW6e2vogKL2u7a4pGMDdBVsEVQUarTJgykASEE7uc,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS038|S21,DUPLICATE_INACTIVE,MEDIUM,HOS038-S21-01,HOS038,S21,-b6uOjlKsZIwfynDbGZ8yTrVTVCZYUzBImi9wW9Yr-Q,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS038|S21,DUPLICATE_INACTIVE,MEDIUM,HOS038-S21-02,HOS038,S21,vySJ4fDZk1wpZhi_sbA64gSg3oxfEAyAjlbdf2dSJcw,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS142|S22,DUPLICATE_INACTIVE,MEDIUM,S4E-HOS142,HOS142,S22,RXLFdl4svJfJ_6PNQxSnkdCbS6Krdj_6mRGlEbrkkdM,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS142|S22,DUPLICATE_INACTIVE,MEDIUM,Institut Apel·les Mestres-HOS142,HOS142,S22,9TgxJi1vtnDPpaysK5fMdVzZTBFCJs1_nFIZ0NmR7LE,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS130|S23,DUPLICATE_INACTIVE,MEDIUM,P. M. Gornal - Plaza 1 - HOS130,HOS130,S23,041bMJeGKfp3cz6tR53jm9hr1wBpFzw_laFJFyDu-SU,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS130|S23,DUPLICATE_INACTIVE,MEDIUM,P. M. Gornal - Plaza 2 - HOS130,HOS130,S23,D7iCBGkDj3Oi5aZR_J83o7r_5X4sOPo_07wBUCi2zdw,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS029|SIP,DUPLICATE_INACTIVE,MEDIUM,HOS029-IPEX04-ID0200J23007500259,HOS029,SIP,jP8CkyJoSesxnZjEuob-kMBKqfvITnQNat2oWQo4Cb0,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS029|SIP,DUPLICATE_INACTIVE,MEDIUM,HOS029-IPEX04-ID0200J23007500265,HOS029,SIP,dlQxZrNNl5UJtbSU_TwQ4_jMRPYWkrpjBpgEYZCuOJw,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS054|S08,DUPLICATE_INACTIVE,LOW,HOS054-3,HOS054,S08,3zlVG62PQ9kmUsGtqCprMsw9aF3OH57wu_Ugu1v55rk,True,True,2026-06-08T12:33:06.564Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS054|S08,DUPLICATE_INACTIVE,LOW,HOS054-2,HOS054,S08,JKpJUonJxW_H8nT5HriiBwrj1ufOZSza0m1Z-NtktHE,True,True,2026-06-08T12:33:06.461Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS054|S08,DUPLICATE_INACTIVE,LOW,HOS054-1,HOS054,S08,_MKm4k-Z-3L8KGPvCEWpiDeT3cjTAqMsG41gDxYk_Zg,True,True,2026-06-08T12:33:06.232Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS054|S08,DUPLICATE_INACTIVE,LOW,HOS054-S08-03,HOS054,S08,Suq7_9G2X2NT4cDyDHbdmf3rBXMCjozeXI-eUt5A5XU,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS054|S08,DUPLICATE_INACTIVE,LOW,HOS054-S08-02,HOS054,S08,DsekXp5h-QB9NuVrDb3BLTZlSzF_isK1Jn5Zf2uYtvQ,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS054|S08,DUPLICATE_INACTIVE,LOW,HOS054-S08-01,HOS054,S08,8Dlm21IKmxok_8tL3NVbN6p4l_pk9BtaGRcFkuVo6Bk,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS050|S08,DUPLICATE_INACTIVE,LOW,HOS050-3,HOS050,S08,a884ueazOfP2cypEFbUwNQeqUyoFfhEIGSUnUcg490Y,True,True,2026-06-08T12:32:41.724Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS050|S08,DUPLICATE_INACTIVE,LOW,HOS050-2,HOS050,S08,5_pZu38RThILHzCebyxCoDlxU9gdpRcw_PT7LoLkHaM,True,True,2026-06-08T12:32:41.665Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS050|S08,DUPLICATE_INACTIVE,LOW,HOS050-1,HOS050,S08,XkXNIQpXahlMjsy165dt6D5UGBZrsXmDqJ3gCLaq2vU,True,True,2026-06-08T12:32:41.621Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS050|S08,DUPLICATE_INACTIVE,LOW,HOS050-S08-03,HOS050,S08,uyQMsT3fny6aGWunD9mdj0lMi9MNgDUbVmg82X-8jDk,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS050|S08,DUPLICATE_INACTIVE,LOW,HOS050-S08-02,HOS050,S08,N7GkCBI8m8H_GsNCD5MmOaHKdhhSlNNv2ylj0Wd0wAA,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS050|S08,DUPLICATE_INACTIVE,LOW,HOS050-S08-01,HOS050,S08,hYJ8ni5lsgHefUoQYzQ8oTApdsSajPXQbf1bCSIUpoM,True,False,,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS152|S08,DUPLICATE_INACTIVE,LOW,HOS152-2,HOS152,S08,5lNvZPA6p3yUF5LW_VQX5NmQZmnDU0oWtbFO8Lwrxm8,True,True,2026-06-08T12:34:26.279Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
HOS152|S08,DUPLICATE_INACTIVE,LOW,HOS152-1,HOS152,S08,Vyszj0PiFLIkqyanf76d_6NTO4WLo0YzHiSN9-DnAKw,True,True,2026-06-08T12:32:26.461Z,MANUAL_REVIEW,LOW,"todos inactivos, posible inventario historico"
